1.000000000000000000e+01,1.411903999999999826e+00,5.599999999999982769e-02
1.315789473684210620e+01,1.296853333333333413e+00,4.000000000000003553e-02
1.631578947368421240e+01,1.119749333333333485e+00,4.000000000000003553e-02
1.947368421052631504e+01,1.013530666666666802e+00,8.000000000000007105e-02
2.263157894736842124e+01,9.070400000000000684e-01,7.200000000000006395e-02
2.578947368421052744e+01,8.202773333333334138e-01,6.799999999999994937e-02
2.894736842105263008e+01,6.850266666666666726e-01,7.199999999999995293e-02
3.210526315789473983e+01,6.356746666666666101e-01,6.800000000000006040e-02
3.526315789473684248e+01,6.286213333333333653e-01,2.400000000000002132e-02
3.842105263157894512e+01,5.879679999999999351e-01,2.399999999999991029e-02
4.157894736842105488e+01,5.609760000000000302e-01,6.799999999999994937e-02
4.473684210526315752e+01,5.409493333333332821e-01,6.800000000000006040e-02
4.789473684210526017e+01,5.211973333333334013e-01,6.800000000000006040e-02
5.105263157894736992e+01,4.815973333333333772e-01,7.200000000000000844e-02
5.421052631578947256e+01,4.622266666666666746e-01,6.800000000000000488e-02
5.736842105263158231e+01,4.421440000000000925e-01,7.199999999999995293e-02
6.052631578947368496e+01,4.420026666666667658e-01,6.400000000000000133e-02
6.368421052631578760e+01,4.225360000000000782e-01,6.800000000000000488e-02
6.684210526315789025e+01,3.900773333333333315e-01,2.800000000000002487e-02
7.000000000000000000e+01,3.903226666666667066e-01,2.400000000000002132e-02
